Satellite,Benchmark Latitude,Benchmark Longitude,Benchmark Altitude,Predicted Latitude,Predicted Longitude,Predicted Altitude,Error
Satellite 155,-5518.7026,2569.775,-3304.4185,-5548.0806,2552.1316,-3346.3237,54.13318
Satellite 156,-5576.5894,-1059.7726,3973.6262,-5525.7803,-1023.03143,4016.9937,76.23785
Satellite 157,-1441.3595,-6785.383,12.465346,-1395.2532,-6716.408,-60.850574,110.71817
Satellite 158,-2935.8826,6261.3755,-736.17065,-2955.6016,6249.392,-769.6345,40.648136
Satellite 159,5798.9224,37.03194,3763.0906,5833.1406,86.9115,3744.3982,63.31086
Satellite 160,3436.112,-5568.9624,-2254.871,3386.2637,-5587.9,-2287.0413,62.276882
Satellite 161,1592.2693,-4929.2134,-4591.5566,1793.877,-4917.2393,-4635.935,206.78123
Satellite 162,-1046.4105,5509.949,-4049.9016,-1207.5244,5486.456,-3987.4556,174.38211
Satellite 163,4482.151,2374.3574,4722.7007,4436.5303,2362.6787,4703.3667,50.90614
Satellite 164,4453.1216,-2481.5452,4693.444,4481.322,-2446.6086,4703.3667,45.981243
Satellite 165,-1721.3765,-5175.7676,4272.2627,-1865.0162,-5208.9062,4253.4834,148.60423
Satellite 166,1862.5686,1688.8322,-7146.57,1802.3127,1717.9794,-7113.877,74.49263
Satellite 167,41600.98,-6899.117,11.314656,41524.957,-6965.4004,-22.025728,106.22903
Satellite 168,4182.7524,4826.053,2143.5613,4253.1763,4803.2754,2085.439,94.10924
Satellite 169,-3121.0535,-4877.462,-3791.5684,-3158.9834,-4739.0903,-3801.479,143.81793
Satellite 170,-4427.4585,4532.62,-2797.9963,-4434.154,4531.8047,-2778.6746,20.46517
Satellite 171,-1237.3812,-6280.166,2083.1746,-1305.3998,-6284.0493,2083.1465,68.129326
Satellite 172,3289.696,4071.87,4362.2793,3326.4504,4214.5728,4402.3657,152.71494
Satellite 173,-32.795174,6028.377,-3005.541,178.82216,5956.9727,-3039.7922,225.95047
Satellite 174,-5760.8774,3866.5757,-1164.135,-5699.6143,3865.4875,-1091.2391,95.22694
Satellite 175,11.497408,-6916.498,169.6247,239.37724,-6807.6,194.16428,253.7522
Satellite 176,2754.4397,-6186.6255,1140.4911,2869.6396,-6271.0967,1110.6382,145.937
Satellite 177,-286.9421,1677.122,6746.326,-425.76486,1721.7024,6748.2974,145.81859
Satellite 178,1021.26624,6051.7603,3040.7214,1042.0492,5980.6016,3058.7324,76.288185
Satellite 179,2355.627,-3416.0679,-5531.1724,2393.8777,-3415.9426,-5490.098,56.12687
Satellite 180,3179.691,-6158.2744,-272.0215,2949.5767,-6200.14,-225.55112,238.46342
Satellite 181,-41239.55,8879.323,192.21558,-41314.375,8868.57,237.72786,88.236374
Satellite 182,1973.631,-2329.556,6109.189,1884.6042,-2223.2795,6120.0127,139.05962
Satellite 183,879.7278,269.25748,6496.3774,872.689,303.35913,6500.598,35.075367
Satellite 184,4755.931,4835.3467,726.8459,4756.5557,4807.1567,682.8943,52.218826
Satellite 185,-5454.6704,-1720.7915,-3930.478,-5399.3496,-1625.5398,-3957.465,113.40891
Satellite 186,2240.2815,-3542.5085,-5953.3594,2346.1472,-3772.3257,-5942.3716,253.26704
Satellite 187,-1813.2384,3773.5256,-5397.6143,-1919.3346,3718.6147,-5384.5273,120.17851
Satellite 188,-4826.1396,-4543.0674,-2972.0269,-4880.5293,-4465.1436,-3039.7922,116.715485
Satellite 189,4134.2134,5244.087,1387.9845,4253.1763,5287.632,1340.2802,135.36629
Satellite 190,3627.0247,3282.4019,4888.961,3621.9302,3294.6782,4955.737,68.08584
Satellite 191,-4340.7485,-526.19965,5359.552,-4410.925,-555.9793,5376.733,78.14556
Satellite 192,2308.8362,-5772.514,3032.3123,2393.8777,-5754.076,3033.4807,87.025185
Satellite 193,-451.35364,5714.4565,-3561.5334,-497.62988,5648.5103,-3607.9565,92.981224
Satellite 194,-6783.4478,1420.3167,429.3662,-6759.295,1458.0775,391.57764,58.627796
Satellite 195,6304.605,2748.1892,-856.92535,6328.742,2820.5325,-912.65375,94.455315
Satellite 196,-6746.456,474.6563,-1113.384,-6759.295,444.42032,-1099.0608,35.835835
Satellite 197,1052.2327,4447.136,5100.169,1066.864,4468.515,5102.6406,26.023895
Satellite 198,-13279.785,5674.8145,-6.8691235,-13482.534,5622.228,-22.025728,210.0053
Satellite 199,381.2838,1138.0956,7221.157,204.75282,1088.7006,7184.43,186.95436
Satellite 200,2964.6514,-6081.283,887.7265,2949.5767,-6093.1846,848.1977,43.94788
Satellite 201,4972.2095,-714.87366,-4765.006,4961.0127,-679.9259,-4796.469,48.338985
Satellite 202,4798.7544,3354.8303,4148.0854,4741.5327,3304.7834,4121.791,80.43884
Satellite 203,-31.37369,-4765.5537,5004.966,239.37724,-4836.922,4981.4297,280.98657
Satellite 204,-783.47284,566.0595,6919.616,-593.9505,511.6653,6883.932,200.37665
Satellite 205,-1879.5214,-6557.2944,1144.9271,-1865.0162,-6474.0166,1188.7556,95.218346
Satellite 206,3978.6492,5660.315,-485.41556,3990.4666,5620.32,-526.48303,58.53031
Satellite 207,6583.1343,-876.6773,1693.6697,6534.058,-867.9947,1700.194,50.263557
Satellite 208,1769.4979,6092.824,2603.624,1733.3218,6058.5796,2519.419,97.836105
Satellite 209,-1869.9504,-5583.5977,3216.3743,-1865.0162,-5408.29,3110.5198,204.84697
Satellite 210,-3013.979,3381.6558,-5232.903,-3018.4194,3461.8003,-5229.509,80.33917
Satellite 211,-2236.237,6344.545,1117.8965,-2063.729,6436.2007,1102.8165,195.92656
Satellite 212,-2755.3843,4130.9062,-4551.756,-2836.1711,4138.002,-4615.9062,103.4028
Satellite 213,-3057.6152,-5969.32,1807.6842,-3007.441,-5920.8857,1777.4872,75.99462
Satellite 214,-2460.4426,1769.9403,-6237.417,-2422.6362,1736.8743,-6213.274,55.72768
Satellite 215,1506.2604,-1716.0021,-6561.4077,1282.7642,-1625.5398,-6510.0283,246.52348
Satellite 216,2638.9578,4941.6562,-4003.4604,2464.358,4914.274,-3986.6143,177.53505
Satellite 217,1814.2716,5807.393,-3162.1594,1782.6449,5620.32,-3205.0928,194.52486
Satellite 218,-2315.889,4673.822,-4463.8843,-2472.2312,4738.2656,-4460.152,169.14447
Satellite 219,3413.6484,2357.647,-5542.27,3341.4734,2358.9556,-5490.098,89.066574
Satellite 220,4638.4946,-2174.8901,-4681.661,4697.402,-2165.0916,-4619.3154,86.33111
Satellite 221,-572.62177,924.23444,6792.251,-539.3963,931.6922,6771.907,39.666332
Satellite 222,-1169.5687,-5230.1313,-4228.085,-1153.206,-5208.9062,-4197.3145,40.805218
Satellite 223,-192609.64,1079408.6,-578418.56,-191445.23,1078312.9,-576128.0,2793.4185
Satellite 224,2596.97,-4583.291,-4516.247,2491.392,-4663.7056,-4460.152,144.08282
Satellite 225,3509.255,5064.635,-2734.7344,3562.117,5134.907,-2720.4292,89.09127
Satellite 226,326.27042,2588.2515,-6259.86,226.7902,2522.5415,-6224.017,124.49424
Satellite 227,-4600.493,1282.4648,5145.4194,-4512.744,1219.171,5148.165,108.229095
Satellite 228,4603.6533,2549.9338,4511.2065,4639.61,2556.2036,4455.4,66.68256
Satellite 229,613.2487,5440.104,4066.6392,788.76135,5487.32,4059.7153,181.88446
Satellite 230,4463.724,-4282.4385,-3110.5442,4481.322,-4241.0483,-3034.1592,88.64249
Satellite 231,2882.6614,-4209.671,-4679.0083,2899.4395,-4175.127,-4639.344,55.20893
Satellite 232,-4020.829,-3207.2107,-4482.0464,-4130.2773,-3242.6023,-4460.152,117.09335
Satellite 233,-7172.0127,1532.925,-1846.7551,-7158.0483,1492.5708,-1796.711,65.7866
Satellite 234,-2793.0352,-3266.5244,-5471.835,-2805.2192,-3279.871,-5476.967,18.786203
Satellite 235,-2673.2463,5954.9707,2300.1943,-2829.3867,5912.125,2212.8086,183.9887
Satellite 236,-1738.7533,-6724.0938,-290.05624,-1865.0162,-6678.3135,-351.37878,147.64355
Satellite 237,6598.9727,-1901.2003,-972.8274,6591.6035,-1874.4473,-977.38654,28.121447
Satellite 238,3453.5334,4150.97,5298.1733,3577.14,4205.0737,5342.293,141.95874
Satellite 239,-3961.4507,-2376.3582,5149.329,-3822.4517,-2339.6384,5152.5493,143.80347
Satellite 240,-29201.664,30427.219,-107.80099,-29090.07,30372.35,-186.72627,147.2854
Satellite 241,2271.2676,5193.715,3990.7026,2331.1243,5092.6807,4004.6208,118.255844
Satellite 242,-5705.9297,-3853.8838,3781.5251,-5699.6143,-3802.1838,3799.865,55.218834
Satellite 243,-1944.4363,2087.9092,6194.9365,-1906.3132,2015.7721,6187.4937,81.929985
Satellite 244,-4538.863,-5037.761,1095.1941,-4466.7627,-5071.377,1110.6382,81.03679
Satellite 245,-3499.5283,-286.31937,6226.7803,-3508.9653,-239.5822,6192.542,58.699913
Satellite 246,4763.16,-1981.6595,-4642.092,4738.2036,-1988.1868,-4606.184,44.213093
Satellite 247,4655.63,-293.31396,-5551.0386,4675.33,-314.6756,-5490.098,67.5141
Satellite 248,-5437.399,525.4744,4243.368,-5388.5703,441.11377,4286.9,106.751884
Satellite 249,2762.626,5633.097,-2834.056,2866.1685,5620.952,-2848.1455,105.20011
Satellite 250,4366.296,-5014.96,1905.8685,4310.9683,-5120.3857,1903.449,119.08651
Satellite 251,-4710.7896,-5052.649,-673.3428,-4753.344,-5085.7583,-719.0913,70.711105
Satellite 252,6710.6655,429.87207,429.66702,6688.4443,455.3851,470.80423,53.263176
Satellite 253,-3388.2185,-2454.121,-5513.786,-3413.8464,-2514.1748,-5480.5186,73.28009
Satellite 254,6605.6533,1330.6205,-1577.246,6652.4883,1236.7809,-1647.9642,126.49291
Satellite 255,4191.0483,667.7309,5457.321,4286.131,673.17926,5433.0024,98.29421
Satellite 256,-3611.3977,-2101.9238,-5518.939,-3510.9878,-2110.2288,-5487.94,105.413765
Satellite 257,40213.008,-12730.335,-57.27714,40154.734,-12415.653,-22.025728,321.96738
Satellite 258,79.38996,6059.0303,-3380.5286,178.82216,6025.449,-3402.1821,107.160286
Satellite 259,-1222.1089,-6680.941,1301.826,-1153.206,-6588.517,1340.2802,121.52564
Satellite 260,-3423.8713,-5174.375,-3007.6826,-3422.3145,-5085.7583,-2992.8884,89.85661
Satellite 261,-361.97775,-121.85015,-7578.373,-437.07483,-170.0052,-7526.386,103.25264
Satellite 262,3446.3088,3230.213,-5060.3745,3359.404,3289.9941,-5018.4917,113.4919
Satellite 263,2085048.9,2855245.5,1004392.1,2072745.9,2845557.2,998365.75,16779.25
Satellite 264,-2218.8088,6081.808,-2445.4663,-2063.729,6065.42,-2507.3218,167.76302
Satellite 265,3781.819,-3295.4155,4647.9897,3776.1035,-3206.257,4615.811,94.959816
Satellite 266,3378.0862,5263.9746,2949.4534,3341.4734,5245.4053,2986.1787,55.08237
Satellite 267,5760.535,-3061.2573,-1694.405,5797.3555,-2998.0747,-1796.711,125.75493
Satellite 268,2398.7417,-6656.9023,215.7645,2393.8777,-6645.971,194.16428,24.692472
Satellite 269,-583.534,4598.301,5133.0513,-535.09485,4537.2456,5128.3335,78.07908
Satellite 270,5730.7837,2887.975,-2634.707,5775.884,2897.1704,-2572.054,77.74304
Satellite 271,-1577.9412,5034.846,-4386.4155,-1403.7214,5131.794,-4373.5527,199.79198
Satellite 272,-6396.361,964.9012,2410.009,-6439.0986,981.7943,2285.3008,132.90614
Satellite 273,5942.4185,2968.065,1678.7601,5983.6377,2897.1704,1752.5336,110.306755
Satellite 274,-2667.4595,-4221.9976,-4652.5894,-2786.5762,-4200.497,-4619.3154,125.53172
Satellite 275,-4518.8774,2602.2705,5493.2715,-4456.2305,2654.1814,5501.999,81.82636
Satellite 276,2392.7957,323.3583,6631.627,2405.188,272.80695,6615.922,54.36598
Satellite 277,42081.29,-2776.2148,135.37543,41981.176,-2714.9465,136.1061,117.3755
Satellite 278,6669.2144,-761.86206,-1517.1998,6655.254,-691.4303,-1449.1564,98.92138
Satellite 279,-2140.894,-3464.3608,-5415.2417,-2003.1741,-3496.4033,-5408.7505,141.54733
Satellite 280,1812.5609,2210.9736,-6267.6685,1806.8125,2153.873,-6277.483,58.22237
Satellite 281,607.86426,-6388.1455,-4073.5293,822.47906,-6408.467,-4175.1094,238.30858
Satellite 282,-6202.0967,2235.7236,-2137.2678,-6148.637,2172.2192,-2167.6123,88.38275
Satellite 283,-191.6262,1210.8533,6747.1304,-425.76486,1222.0995,6748.2974,234.4115
